ID,MAX_OCC,MaxOccNo,ObjectID,LAST_UPDAT,TYPE,ESTAB_TYPE,CITY,ADDRESS,ZIP_CODE,STATE,LAT,LON
013-0010,UNKNOWN,,112,2012,PUBLIC,RV PARK_CAMPGROUND,KILLDEER,10456 10TH ST NW,58640,ND,47.545665,-102.736099
013-0011,UNKNOWN,,113,2012,PUBLIC,RV PARK_CAMPGROUND,KILLDEER,10899 HWY 200 (5 MILES W OF KILLDEER),58640,ND,47.366778,-102.858996
013-0012,86,86,114,2012,PUBLIC,MOBILE HOME,KILLDEER,10369 HIGHWAY 200,58640,ND,47.35765,-102.748033
013-0012,6,6,115,2012,PUBLIC,RV PARK_CAMPGROUND,KILLDEER,10369 HIGHWAY 200,58640,ND,47.35765,-102.748033
013-0013,44,44,116,2012,PUBLIC,HOTEL_LODGING,KILLDEER,158 RODEO DRIVE,58640,ND,47.366597,-102.752826
013-0014,4,4,117,2013,PUBLIC,RV PARK_CAMPGROUND,DODGE,UNKNOWN,58625,ND,47.055342,-102.280794
013-0015,10,10,118,2012,PUBLIC,RV PARK_CAMPGROUND,DUNN CENTER,10509 HIGHWAY 200,58626,ND,47.354473,-102.617996
013-0016,22,22,119,2012,PUBLIC,RV PARK_CAMPGROUND,KILLDEER,10456 10 STREET NW,58640,ND,47.270173,-102.909156
013-0019,10,10,120,2012,PUBLIC,HOTEL_LODGING,HALLIDAY,681 7 STREET SW,58636,ND,47.312658,-102.42999
013-0020,24,24,121,2012,PUBLIC,RV PARK_CAMPGROUND,KILLDEER,10540 SPRING CREED ROAD,58640,ND,47.472283,-102.889533
004-0012,16,16,122,2012,PUBLIC,RV PARK_CAMPGROUND,MEDORA,UNKNOWN,58645,ND,46.889963,-103.526394
004-0014,UNKNOWN,,123,2013,PUBLIC,HOTEL_LODGING,MEDORA,75 EAST RIVER ROAD SOUTH,58645,ND,46.910584,-103.522428
004-0015,114,114,124,2013,PUBLIC,HOTEL_LODGING,MEDORA,501 PACIFIC AVENUE,58645,ND,46.765346,-103.435308
004-0016,22,22,125,2013,PUBLIC,HOTEL_LODGING,MEDORA,3100 BUFFALO GAP ROAD,58645,ND,46.765346,-103.435308
004-0017,141,141,126,2012,PUBLIC,HOTEL_LODGING,MEDORA,400 EAST RIVER ROAD,58645,ND,46.910003,-103.523983
004-0019,8,8,127,2013,PUBLIC,HOTEL_LODGING,MEDORA,3576 EAST DIVIDE ROAD,58645,ND,46.765346,-103.435308
004-0020,16,16,128,2013,PUBLIC,RV PARK_CAMPGROUND,MEDORA,3576 EAST RIVER ROAD,58645,ND,46.959609,-103.598533
004-0021,12,12,129,2013,PUBLIC,MOBILE HOME,MEDORA,UNKNOWN,58645,ND,46.765346,-103.435308
004-0022,10,10,130,2012,PUBLIC,CREW CAMP,FAIRFIELD,12970 20 STREET SW,58627,ND,47.124736,-103.328978
004-0023,76,76,131,2012,PUBLIC,HOTEL_LODGING,MEDORA,301 5TH STREET,58645,ND,46.912654,-103.521461
006-0001,13,13,132,2012,PUBLIC,MOBILE HOME,BOWMAN,UNKNOWN,58623,ND,46.106608,-103.419923
012-0008,4,4,133,2012,PRIVATE,RV PARK_CAMPGROUND,FORTUNA,UNKNOWN,58844,ND,48.948975,-103.914308
012-0009,4,4,134,2012,PRIVATE,RV PARK_CAMPGROUND,CROSBY,UNKNOWN,58730,ND,48.948686,-103.383054
012-0010,2,2,135,2012,PRIVATE,RV PARK_CAMPGROUND,FORTUNA,UNKNOWN,58844,ND,48.808232,-103.643786
012-0011,9,9,136,2012,PRIVATE,MOBILE HOME,MCGREGOR,UNKNOWN,58755,ND,48.660354,-102.922088
012-0011,1,1,137,2012,PRIVATE,RV PARK_CAMPGROUND,MCGREGOR,UNKNOWN,58755,ND,48.660354,-102.922088
012-0012,1,1,138,2012,PRIVATE,MOBILE HOME,ALAMO,UNKNOWN,58830,ND,48.665472,-103.580239
012-0012,10,10,139,2012,PRIVATE,RV PARK_CAMPGROUND,ALAMO,UNKNOWN,58830,ND,48.665472,-103.580239
012-0014,50,50,140,2012,PRIVATE,RV PARK_CAMPGROUND,CROSBY,UNKNOWN,58730,ND,48.96723,-103.405003
012-0017,4,4,141,2012,PRIVATE,RV PARK_CAMPGROUND,FORTUNA,UNKNOWN,58844,ND,48.852037,-103.663745
012-0020,5 SU,5,142,2012,PRIVATE,CREW CAMP,WILDROSE,UNKNOWN,58795,ND,48.636886,-103.325434
012-0020,10,10,143,2012,PRIVATE,RV PARK_CAMPGROUND,WILDROSE,UNKNOWN,58795,ND,48.636886,-103.325434
006-0002,40,40,144,2012,PUBLIC,HOTEL_LODGING,BOWMAN,704 HIGHWAY 12 WEST,58623,ND,46.177895,-103.405472
031-0030,22,22,145,2011,PRIVATE,RV PARK_CAMPGROUND,UNKNOWN,UNKNOWN,0,ND,48.421739,-102.661085
031-0031,2,2,146,2011,PRIVATE,MOBILE HOME,UNKNOWN,UNKNOWN,0,ND,48.421739,-102.661085
031-0032,UNKNOWN,,147,2010,UNKNOWN,CREW CAMP,PARSHALL,UNKNOWN,58770,ND,47.941402,-102.216501
031-0033,UNKNOWN,,148,2011,UNKNOWN,CREW CAMP,STANLEY,UNKNOWN,58784,ND,48.297938,-102.480573
031-0034,20,20,149,2009,UNKNOWN,RV PARK_CAMPGROUND,UNKNOWN,UNKNOWN,0,ND,48.48075,-102.423106
031-0035,1,1,150,2012,UNKNOWN,MOBILE HOME,PALERMO,379 BROADWAY STREET,58769,ND,48.339494,-102.227924
031-0036,13 SU,13,151,2010,UNKNOWN,CREW CAMP,ROSS,UNKNOWN,58776,ND,48.317198,-102.591558
031-0036,14,14,152,2010,UNKNOWN,RV PARK_CAMPGROUND,ROSS,UNKNOWN,58776,ND,48.313401,-102.600433
031-0037,8 SU,8,153,2010,UNKNOWN,CREW CAMP,ROSS,UNKNOWN,58776,ND,48.317198,-102.591558
031-0037,15,15,154,2011,UNKNOWN,MOBILE HOME,ROSS,UNKNOWN,58776,ND,48.317198,-102.591558
031-0048,1,1,155,2011,UNKNOWN,MOBILE HOME,NEW TOWN,UNKNOWN,58763,ND,47.978703,-102.402674
031-0049,1,1,156,2011,UNKNOWN,MOBILE HOME,PALERMO,UNKNOWN,58769,ND,48.33931,-102.227045
031-0050,1,1,157,2010,UNKNOWN,MOBILE HOME,PALERMO,UNKNOWN,58769,ND,48.339441,-102.227045
031-0051,25,25,158,2010,UNKNOWN,RV PARK_CAMPGROUND,ROSS,9092 62 STREET NW,58776,ND,48.317206,-102.589792
031-0052,25,25,159,2010,UNKNOWN,RV PARK_CAMPGROUND,ROSS,9092 62 STREET NW,58776,ND,48.314924,-102.590219
031-0053,60,60,160,2010,UNKNOWN,RV PARK_CAMPGROUND,ROSS,9092 62 STREET NW,58776,ND,48.314924,-102.590219
031-0054,1,1,161,2012,UNKNOWN,MOBILE HOME,PALERMO,UNKNOWN,58769,ND,48.33872,-102.228662
031-0055,60,60,162,2008,UNKNOWN,CREW CAMP,STANLEY,UNKNOWN,58784,ND,48.306685,-102.441858
031-0056,24,24,163,2010,UNKNOWN,CREW CAMP,NEW TOWN,4499 HWY 8,58763,ND,48.06509,-102.370181
031-0057,UNKNOWN,,164,2011,UNKNOWN,CREW CAMP,BERTHOLD,UNKNOWN,58718,ND,48.334487,-101.976306
031-0058,8 SU,8,165,2010,UNKNOWN,CREW CAMP,STANLEY,UNKNOWN,58784,ND,48.326455,-102.301347
031-0037,54,8,166,2011,UNKNOWN,RV PARK_CAMPGROUND,ROSS,UNKNOWN,58776,ND,48.317198,-102.591558
031-0038,1,1,167,2011,UNKNOWN,MOBILE HOME,PALERMO,UNKNOWN,58769,ND,48.338734,-102.232573
031-0039,12,12,168,2010,UNKNOWN,MOBILE HOME,UNKNOWN,UNKNOWN,0,ND,48.370357,-102.362132
031-0040,12,12,169,2008,UNKNOWN,CREW CAMP,STANLEY,UNKNOWN,58784,ND,48.326564,-102.30134
031-0041,UNKNOWN,,170,2011,UNKNOWN,CREW CAMP,STANLEY,UNKNOWN,58784,ND,48.327754,-102.337903
031-0042,1,1,171,2008,PRIVATE,MOBILE HOME,UNKNOWN,UNKNOWN,0,ND,48.152923,-102.247342
031-0043,2 APART,2,172,2011,UNKNOWN,HOTEL_LODGING,PALERMO,UNKNOWN,58769,ND,48.342767,-102.238992
031-0044,23,23,173,2011,UNKNOWN,MOBILE HOME,PALERMO,UNKNOWN,58769,ND,48.342767,-102.238992
031-0045,23,23,174,2011,UNKNOWN,MOBILE HOME,STANLEY,UNKNOWN,58784,ND,48.357167,-102.391623
031-0046,9,9,175,2011,UNKNOWN,CREW CAMP,UNKNOWN,UNKNOWN,0,ND,48.456766,-102.593634
031-0047,15,15,176,2011,UNKNOWN,RV PARK_CAMPGROUND,UNKNOWN,UNKNOWN,0,ND,48.456766,-102.593634
029-0011,8,8,177,2013,PUBLIC,MOBILE HOME,BEULAH,UNKNOWN,58523,ND,47.118528,-101.933471
031-0001,16 SU,10,178,2011,UNKNOWN,CREW CAMP,ROSS,6350 93RD AVE NW,58776,ND,48.317487,-102.591628
031-0001,3,3,179,2011,UNKNOWN,MOBILE HOME,ROSS,6350 93RD AVE NW,58776,ND,48.317487,-102.591628
031-0002,1,1,180,2012,UNKNOWN,MOBILE HOME,PALERMO,7680 OLD HWY 2,58769,ND,48.341588,-102.285109
031-0003,5,5,181,2010,PRIVATE,MOBILE HOME,UNKNOWN,UNKNOWN,0,ND,48.487864,-102.525051
031-0003,10,10,182,2010,PRIVATE,RV PARK_CAMPGROUND,UNKNOWN,UNKNOWN,0,ND,48.487864,-102.525051
031-0004,10 SU,10,183,2010,PUBLIC,CREW CAMP,NEW TOWN,4248 83RD AVE NW,58763,ND,48.032975,-102.416244
031-0004,4,4,184,2011,PUBLIC,RV PARK_CAMPGROUND,NEW TOWN,4248 83RD AVE NW,58763,ND,48.032083,-102.415997
031-0005,UNKNOWN,,185,2011,UNKNOWN,MOBILE HOME,UNKNOWN,UNKNOWN,0,ND,48.065122,-102.350776
031-0006,6,6,186,2010,PRIVATE,MOBILE HOME,STANLEY,UNKNOWN,58784,ND,48.309785,-102.591435
031-0006,20,20,187,2010,PRIVATE,RV PARK_CAMPGROUND,STANLEY,UNKNOWN,58784,ND,48.309785,-102.591435
031-0007,2,2,188,2011,UNKNOWN,MOBILE HOME,PALERMO,UNKNOWN,58769,ND,48.338318,-102.230133
029-0012,6,6,189,2013,PUBLIC,MOBILE HOME,GOLDEN VALLEY,31 COUNTY 5 SOUTH,58541,ND,47.284889,-102.05986
029-0013,6,6,190,2013,PUBLIC,RV PARK_CAMPGROUND,GOLDEN VALLEY,31 COUNTY 5 SOUTH,58541,ND,47.284889,-102.05986
029-0014,57,57,191,2012,PUBLIC,HOTEL_LODGING,HAZEN,707 8TH AVENUE NORTHEAST,58545,ND,47.299362,-101.611578
029-0017,23,23,192,2012,PUBLIC,MOBILE HOME,BEULAH,541 55 AVENUE NE,58523,ND,47.458549,-101.716238
029-0018,3,3,193,2013,PUBLIC,MOBILE HOME,BEULAH,UNKNOWN,58523,ND,47.118528,-101.933471
029-0019,7,7,194,2012,PUBLIC,MOBILE HOME,BEULAH,105 HIGHWAY 49 SOUTH,58523,ND,47.263152,-101.785762
029-0020,3,3,195,2012,PUBLIC,MOBILE HOME,BEULAH,2ND AVENUE NE,58523,ND,47.267002,-101.774937
029-0020,51,51,196,2012,PUBLIC,RV PARK_CAMPGROUND,BEULAH,2ND AVENUE NE,58523,ND,47.267002,-101.774937
029-0021,37,37,197,2012,PUBLIC,RV PARK_CAMPGROUND,HAZEN,622 2ND AVENUE NW,58545,ND,47.298023,-101.626153
029-0022,7,7,198,2012,PUBLIC,MOBILE HOME,HAZEN,402 3 STREET NW,58545,ND,47.29551,-101.630243
029-0023,19,19,199,2012,PUBLIC,RV PARK_CAMPGROUND,ZAP,UNKNOWN,58580,ND,47.285602,-101.926542
031-0009,26,26,200,2010,UNKNOWN,CREW CAMP,ROSS,UNKNOWN,58776,ND,48.321504,-102.54699
031-0010,UNKNOWN,,201,2011,PRIVATE,CREW CAMP,BLAISDELL,UNKNOWN,58718,ND,48.32121,-102.074889
