Year,Agency/Tribe,State,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Aggravated assault,Lat,Long,Count 
2014,Turtle Mountain Agency,ND,21,0,5,15,48.8391712,-99.7448688,
2013,Upper Sioux Community,MN,0,0,0,0,44.76314575,-95.51222334,0
2011,White Earth Tribal,MN,41,0,3,31,46.97312053,-95.8652819,0.291666667
2012,White Earth Tribal,MN,30,0,2,28,46.97312053,-95.8652819,
2013,White Earth Tribal,MN,18,0,1,17,46.97312053,-95.8652819,
2014,White Earth Tribal,MN,35,0,0,20,46.97312053,-95.8652819,
2010,Yankton Tribal,SD,3,0,0,3,43.0797156,-98.2931342,0.333333333
2011,Yankton Tribal,SD,11,0,0,11,43.0797156,-98.2931342,
2012,Yankton Tribal,SD,32,1,3,26,43.0797156,-98.2931342,
2013,Yankton Tribal,SD,54,1,4,48,43.0797156,-98.2931342,
