Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
"Filename: Tribal Crime in United States, 2015",,,,,,,,,,,,,,,,,,,,,,,
"Table title: Offenses Known to Tribal Law Enforcement, 2015",,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2015 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,"Violent
crime",,Murder and nonnegligent manslaughter,,Rape (revised definition)/1,,Rape (revised definition)/2,,Robbery,,Aggravated assault,,Property crime/3,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/4
,Kaibab Paiute Tribal,,0,,0,,0,,,,0,,0,,2,,2,,0,,0,,0
,Navajo Nation,,"1,546",,17,,164,,,,7,,"1,358",,534,,184,,240,,110,,27
,Pascua Yaqui Tribal,,33,,0,,0,,,,2,,31,,191,,58,,126,,7,,
,Quechan Tribal,,7,,0,,0,,,,1,,6,,39,,22,,13,,4,,0
,Salt River Tribal,,352,,1,,2,,,,5,,344,,492,,62,,392,,38,,
,San Carlos Agency,,2,,0,,0,,,,0,,2,,0,,0,,0,,0,,0
,Tohono O'odham Nation,,186,,2,,20,,,,28,,136,,269,,84,,133,,52,,
,Tonto Apache Tribal,,0,,0,,0,,,,0,,0,,23,,14,,8,,1,,
,Truxton Canon Agency,,9,,0,,0,,,,0,,9,,3,,0,,3,,0,,
,Yavapai-Apache Nation,,6,,0,,0,,,,0,,6,,17,,2,,14,,1,,0
California,,,,,,,,,,,,,,,,,,,,,,,
,Coyote Valley Tribal,,2,,0,,0,,,,0,,2,,0,,0,,0,,0,,0
,La Jolla Tribal,,5,,0,,0,,,,4,,1,,8,,2,,6,,0,,0
,Los Coyotes Tribal,,7,,0,,0,,,,0,,7,,6,,5,,1,,0,,0
,Sycuan Tribal,,10,,0,,0,,,,2,,8,,45,,7,,19,,19,,
,Table Mountain Rancheria,,3,,0,,0,,,,2,,1,,40,,2,,37,,1,,0
,Tule River Tribal,,12,,0,,0,,,,2,,10,,23,,9,,9,,5,,0
,Yurok Tribal,,9,,0,,1,,,,6,,2,,26,,9,,13,,4,,
Colorado,,,,,,,,,,,,,,,,,,,,,,,
,Southern Ute Tribal,,9,,0,,1,,,,0,,8,,16,,0,,15,,1,,1
Connecticut,,,,,,,,,,,,,,,,,,,,,,,
,Mashantucket Pequot Tribal,,21,,0,,1,,,,2,,18,,129,,1,,124,,4,,0
,Mohegan Tribal,,24,,0,,2,,,,8,,14,,294,,1,,289,,4,,0
Florida,,,,,,,,,,,,,,,,,,,,,,,
,Miccosukee Tribal,,15,,0,,1,,,,1,,13,,87,,5,,73,,9,,0
,Seminole Tribal,,62,,0,,4,,,,19,,39,,686,,33,,611,,42,,1
Idaho,,,,,,,,,,,,,,,,,,,,,,,
,Kootenai Tribal,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,
Kansas,,,,,,,,,,,,,,,,,,,,,,,
,Iowa Tribal,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0
,Kickapoo Tribal,,19,,0,,0,,,,0,,19,,29,,10,,13,,6,,6
,Potawatomi Tribal,,0,,0,,0,,,,0,,0,,11,,3,,8,,0,,0
,Sac and Fox Tribal,,0,,0,,0,,,,0,,0,,14,,0,,14,,0,,
Lousiana,,,,,,,,,,,,,,,,,,,,,,,
,Chitimacha Tribal,,6,,0,,0,,,,1,,5,,52,,3,,44,,5,,0
,Coushatta Tribal,,1,,0,,0,,,,0,,1,,62,,1,,59,,2,,0
,Tunica-Biloxi Tribal,,5,,0,,0,,,,2,,3,,93,,4,,89,,0,,0
Maine,,,,,,,,,,,,,,,,,,,,,,,
,Passamaquoddy Indian Township,,4,,0,,1,,,,0,,3,,22,,4,,17,,1,,0
,Passamaquoddy Pleasant Point Tribal,,16,,0,,2,,,,0,,14,,10,,5,,2,,3,,0
,Penobscot Nation,,0,,0,,0,,,,0,,0,,9,,0,,9,,0,,0
Massachusetts,,,,,,,,,,,,,,,,,,,,,,,
,Wampanoag Tribe of Gay Head,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0
,Michigan ,,,,,,,,,,,,,,,,,,,,,,
,Bay Mills Tribal,,6,,0,,0,,,,0,,6,,2,,1,,1,,0,,0
,Grand Traverse Tribal,,11,,0,,3,,,,0,,8,,21,,2,,19,,0,,0
,Gun Lake Tribal,,0,,0,,0,,,,0,,0,,85,,1,,82,,2,,0
,Hannahville Tribal,,17,,0,,4,,,,0,,13,,44,,8,,36,,0,,
,Keweenaw Bay Tribal,,1,,0,,0,,,,0,,1,,36,,3,,31,,2,,0
,Lac Vieux Desert Tribal,,1,,0,,0,,,,0,,1,,3,,0,,2,,1,,0
,Little River Band of Ottawa Indians,,2,,0,,0,,,,0,,2,,16,,2,,14,,0,,0
,Little Traverse Bay Bands of Odawa Indians,,5,,0,,0,,,,0,,5,,48,,0,,48,,0,,0
,Nottawaseppi Huron Band of Potawatomi,,6,,0,,0,,,,0,,6,,85,,5,,78,,2,,0
,Pokagon Tribal,,5,,0,,1,,,,0,,4,,106,,1,,105,,0,,0
,Saginaw Chippewa Tribal,,28,,0,,12,,,,2,,14,,114,,18,,93,,3,,
,Sault Ste. Marie Tribal,,5,,0,,4,,,,0,,1,,62,,10,,49,,3,,0
Minnesota,,,,,,,,,,,,,,,,,,,,,,,
,Fond du Lac Tribal,,15,,0,,3,,,,0,,12,,231,,29,,185,,17,,1
,Leech Lake Band of Ojibwe,,36,,0,,11,,,,2,,23,,31,,9,,17,,5,,
,Lower Sioux Tribal,,28,,1,,1,,,,3,,23,,30,,11,,15,,4,,
,Mille Lacs Tribal,,29,,1,,1,,,,4,,23,,324,,61,,250,,13,,19
,Nett Lake Tribal,,5,,0,,0,,,,0,,5,,25,,11,,10,,4,,1
,Red Lake Agency,,45,,0,,7,,,,1,,37,,104,,19,,66,,19,,
Mississippi,,,,,,,,,,,,,,,,,,,,,,,
,Choctaw Tribal,,94,,1,,7,,,,0,,86,,234,,87,,111,,36,,1
Montana,,,,,,,,,,,,,,,,,,,,,,,
,Crow Agency,,55,,3,,7,,,,0,,45,,140,,29,,64,,47,,3
,Fort Belknap Tribal,,22,,1,,5,,,,0,,16,,58,,16,,36,,6,,0
,Fort Peck Assiniboine and Sioux Tribes,,80,,0,,15,,,,1,,64,,37,,14,,15,,8,,0
,Northern Cheyenne Agency,,46,,0,,7,,,,0,,39,,49,,21,,19,,9,,3
,Rocky Boys Tribal,,84,,0,,8,,,,6,,70,,185,,55,,112,,18,,4
Nevada,,,,,,,,,,,,,,,,,,,,,,,
,Moapa Tribal,,4,,0,,0,,,,0,,4,,15,,4,,11,,0,,0
,Pyramid Lake Tribal,,19,,0,,2,,,,0,,17,,29,,10,,18,,1,,
,Reno-Sparks Indian Colony,,0,,0,,0,,,,0,,0,,227,,0,,227,,0,,
,South Fork Band Tribal,,3,,0,,0,,,,0,,3,,1,,1,,0,,0,,0
,Washoe Tribal,,21,,0,,0,,,,0,,21,,49,,19,,21,,9,,
,Western Nevada Agency,,9,,0,,0,,,,0,,9,,5,,2,,0,,3,,
,Yomba Shoshone Tribal,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0
New Mexico,,,,,,,,,,,,,,,,,,,,,,,
,Acoma Tribal,,11,,1,,0,,,,1,,9,,17,,11,,6,,0,,0
,Jicarilla Apache Tribal,,11,,0,,0,,,,0,,11,,0,,0,,0,,0,,
,Laguna Tribal,,52,,0,,9,,,,5,,38,,75,,21,,44,,10,,3
,Mescalero Tribal,,41,,0,,5,,,,0,,36,,27,,12,,13,,2,,1
,Ramah Navajo Tribal,,2,,1,,1,,,,0,,0,,0,,0,,0,,0,,0
,Santa Ana Tribal,,15,,0,,0,,,,0,,15,,46,,5,,35,,6,,0
,Santa Clara Pueblo,,11,,0,,1,,,,2,,8,,32,,8,,20,,4,,0
,Southern Pueblos Agency,,19,,0,,0,,,,0,,19,,34,,11,,20,,3,,
,Taos Pueblo,,4,,0,,0,,,,1,,3,,8,,8,,0,,0,,0
,Tesuque Pueblo,,7,,0,,0,,,,0,,7,,0,,0,,0,,0,,0
,Zuni Tribal,,16,,0,,1,,,,1,,14,,5,,3,,2,,0,,0
New York,,,,,,,,,,,,,,,,,,,,,,,
,Oneida Indian Nation,,8,,0,,0,,,,3,,5,,204,,1,,203,,0,,0
,St. Regis Tribal,,8,,0,,1,,,,3,,4,,40,,16,,19,,5,,3
North Carolina ,,,,,,,,,,,,,,,,,,,,,,,
,Cherokee Tribal,,101,,1,,8,,,,13,,79,,672,,116,,508,,48,,11
North Dakota ,,,,,,,,,,,,,,,,,,,,,,,
,Fort Totten Agency,,48,,1,,5,,,,3,,39,,37,,12,,22,,3,,2
,Standing Rock Agency,,72,,3,,7,,,,0,,62,,45,,12,,25,,8,,2
Oklahoma ,,,,,,,,,,,,,,,,,,,,,,,
,Anadarko Agency,,19,,2,,1,,,,0,,16,,47,,11,,30,,6,,3
,Cherokee Nation,,10,,0,,0,,,,0,,10,,33,,14,,9,,10,,1
,Chickasaw Nation,,40,,0,,3,,,,4,,33,,881,,46,,761,,74,,0
,Choctaw Nation,,32,,0,,0,,,,1,,31,,292,,6,,268,,18,,0
,Citizen Potawatomi Nation,,5,,0,,1,,,,1,,3,,141,,25,,102,,14,,0
,Comanche Nation,,5,,0,,1,,,,1,,3,,76,,5,,65,,6,,0
,Concho Agency,,13,,0,,1,,,,1,,11,,25,,4,,19,,2,,2
,Eastern Shawnee Tribal,,0,,0,,0,,,,0,,0,,39,,0,,36,,3,,0
,Iowa Tribal,,1,,0,,0,,,,0,,1,,7,,0,,7,,0,,0
,Kaw Tribal,,0,,0,,0,,,,0,,0,,2,,0,,1,,1,,0
,Kickapoo Tribal,,4,,0,,0,,,,0,,4,,10,,4,,4,,2,,0
,Miami Agency,,1,,0,,0,,,,0,,1,,41,,4,,29,,8,,0
,Miami Tribal,,0,,0,,0,,,,0,,0,,1,,1,,0,,0,,0
,Muscogee Nation Tribal,,6,,0,,0,,,,2,,4,,45,,3,,31,,11,,
,Osage Nation,,12,,1,,1,,,,1,,9,,78,,16,,48,,14,,
,Otoe-Missouria Tribal,,5,,0,,0,,,,0,,5,,5,,0,,5,,0,,
,Pawnee Tribal,,1,,0,,0,,,,0,,1,,9,,1,,7,,1,,0
,Ponca Tribal,,12,,0,,0,,,,0,,12,,32,,5,,21,,6,,1
,Sac and Fox Tribal,,4,,0,,0,,,,0,,4,,24,,7,,11,,6,,0
,Seminole Nation Lighthorse ,,9,,0,,0,,,,0,,9,,27,,19,,5,,3,,0
,Tonkawa Tribal,,1,,0,,0,,,,0,,1,,13,,4,,9,,0,,1
,Wyandotte Nation,,4,,0,,0,,,,1,,3,,315,,8,,306,,1,,0
Oregon ,,,,,,,,,,,,,,,,,,,,,,,
,Grand Ronde Tribal,,7,,0,,0,,,,1,,6,,69,,5,,63,,1,,1
Rhode Island ,,,,,,,,,,,,,,,,,,,,,,,
,Narragansett Tribal,,10,,0,,1,,,,1,,8,,2,,0,,0,,2,,0
South Dakota ,,,,,,,,,,,,,,,,,,,,,,,
,Cheyenne River Tribal,,234,,1,,11,,,,0,,222,,25,,11,,1,,13,,5
,Crow Creek Tribal,,58,,0,,9,,,,0,,49,,80,,21,,50,,9,,
,Lower Brule Tribal,,35,,0,,3,,,,1,,31,,61,,22,,28,,11,,10
Utah ,,,,,,,,,,,,,,,,,,,,,,,
,Goshute Tribal,,0,,0,,0,,,,0,,0,,2,,2,,0,,0,,0
,Uintah and Ouray Tribal,,16,,0,,3,,,,0,,13,,11,,6,,5,,0,,
Washington ,,,,,,,,,,,,,,,,,,,,,,,
,Chehalis Tribal,,0,,0,,0,,,,0,,0,,63,,24,,32,,7,,4
,Hoh Tribal,,1,,0,,0,,,,0,,1,,7,,5,,2,,0,,
,Jamestown S'Klallam Tribal,,1,,0,,0,,,,0,,1,,9,,1,,8,,0,,
,Kalispel Tribal,,7,,0,,1,,,,1,,5,,67,,3,,43,,21,,0
,La Push Tribal,,2,,0,,1,,,,0,,1,,37,,8,,24,,5,,0
,Lummi Tribal,,51,,0,,11,,,,3,,37,,239,,75,,156,,8,,2
,Port Gamble S'Klallam Tribal,,0,,0,,0,,,,0,,0,,38,,5,,31,,2,,0
,Sauk-Suiattle Tribal,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0
,Shoalwater Bay Tribal,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0
,Spokane Agency,,13,,0,,1,,,,0,,12,,79,,29,,44,,6,,0
,Stillaguamish Tribal,,0,,0,,0,,,,0,,0,,13,,2,,7,,4,,
,Swinomish Tribal,,1,,0,,1,,,,0,,0,,58,,17,,40,,1,,0
Wisconsin ,,,,,,,,,,,,,,,,,,,,,,,
,Bad River Tribal,,14,,0,,,,0,,0,,14,,32,,8,,23,,1,,0
,Lac du Flambeau Tribal,,35,,0,,4,,,,1,,30,,189,,19,,165,,5,,0
,Menominee Tribal,,24,,0,,9,,,,0,,15,,93,,13,,57,,23,,1
,Oneida Tribal,,21,,2,,2,,,,4,,13,,107,,27,,76,,4,,2
,Red Cliff Tribal,,10,,0,,3,,,,0,,7,,54,,13,,40,,1,,
,St. Croix Tribal,,2,,0,,0,,,,0,,2,,50,,18,,27,,5,,0
,Stockbridge Munsee Tribal,,6,,1,,0,,,,0,,5,,53,,16,,36,,1,,
Wyoming ,,,,,,,,,,,,,,,,,,,,,,,
,Wind River Agency,,108,,1,,6,,,,1,,100,,145,,31,,91,,23,,2
,,,,,,,,,,,,,,,,,,,,,,,
Total number of reporting tribal law enforcement agencies,,141,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"1/In 2013, the FBI's UCR Program initiated the collection of rape data within the Summary Reporting System under a revised definition. The term “forcible” was removed from the offense name, and the definition changed to the revised UCR definition below.  Revised UCR definition of rape:  Penetration, no matter how slight, of the vagina or anus with any body part or object, or oral penetration by a sex organ of another person, without the consent of the victim.",,,,,,,,,,,,,,,,,,,,,,,
2/Legacy UCR definition of rape:  The carnal knowledge of a female forcibly and against her will.,,,,,,,,,,,,,,,,,,,,,,,
"3/Arson is not included in the property crime total in this table; however, if complete arson data were provided, it will appear in the arson column.",,,,,,,,,,,,,,,,,,,,,,,
4/The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.  ,,,,,,,,,,,,,,,,,,,,,,,
"Source:  FBI, Crime in the United States, Table 11. Offenses Known to Law Enforcement, 2015. ",,,,,,,,,,,,,,,,,,,,,,,
