Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
"Filename: Tribal Crime in United States, 2009",,,,,,,,,,,,,,,,,,,,,
Table title: Offenses Known to Tribal Law Enforcement 2009,,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2009 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,Violent crime,,Murder and nonnegligent manslaughter,,Forcible rape,,Robbery,,Aggravated assault,,Property crime/1,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/2
,Mashantucket Pequot Tribal,,28,,0,,0,,0,,28,,22,,1,,18,,3,,0
Florida,,,,,,,,,,,,,,,,,,,,,
,Miccosukee Tribal,,24,,0,,0,,3,,21,,130,,32,,91,,7,,2
,Seminole Tribal,,110,,1,,7,,34,,68,,933,,68,,786,,79,,0
Kansas,,,,,,,,,,,,,,,,,,,,,
,Kickapoo Tribal,,0,,0,,0,,0,,0,,24,,5,,19,,0,,0
,Potawatomi Tribal,,1,,0,,0,,0,,1,,22,,4,,18,,0,,2
,Sac and Fox Tribal,,1,,0,,1,,0,,0,,28,,2,,26,,0,,0
Lousiana,,,,,,,,,,,,,,,,,,,,,
,Chitimacha Tribal,,2,,0,,1,,0,,1,,52,,2,,47,,3,,0
,Coushatta Tribal,,4,,0,,1,,1,,2,,162,,6,,150,,6,,0
,Tunica Biloxi Tribal,,19,,0,,0,,0,,19,,188,,2,,186,,0,,0
Maine,,,,,,,,,,,,,,,,,,,,,
,Passamaquoddy Indian Township,,31,,0,,0,,1,,30,,13,,5,,6,,2,,0
,Penobscot Tribal,,6,,0,,0,,0,,6,,34,,8,,26,,0,,0
Michigan,,,,,,,,,,,,,,,,,,,,,
,Bay Mills Tribal,,0,,0,,0,,0,,0,,28,,7,,20,,1,,0
,Hannahville Tribal,,19,,0,,11,,0,,8,,198,,18,,179,,1,,0
,Lac Vieux Desert Tribal,,2,,0,,0,,0,,2,,26,,5,,20,,1,,1
,Little River Band of Ottawa Tribal,,1,,0,,0,,0,,1,,42,,0,,39,,3,,0
Minnesota,,,,,,,,,,,,,,,,,,,,,
,Red Lake Tribal,,191,,0,,9,,2,,180,,410,,86,,258,,66,,23
Mississippi,,,,,,,,,,,,,,,,,,,,,
,Choctaw Tribal,,175,,1,,7,,0,,167,,444,,170,,268,,6,,1
Montana,,,,,,,,,,,,,,,,,,,,,
,Crow Tribal,,25,,0,,5,,1,,19,,120,,52,,11,,57,,2
Nebraska,,,,,,,,,,,,,,,,,,,,,
,Winnebago Tribal,,60,,0,,0,,0,,60,,6,,1,,0,,5,,1
Nevada,,,,,,,,,,,,,,,,,,,,,
,Eastern Nevada Tribal,,3,,0,,0,,0,,3,,0,,0,,0,,0,,0
,Ely Shoshone Tribal,,1,,0,,0,,0,,1,,7,,2,,3,,2,,0
,Las Vegas Paiute Tribal,,1,,0,,0,,1,,0,,129,,1,,125,,3,,0
,Lovelock Paiute Tribal,,13,,0,,0,,0,,13,,8,,3,,3,,2,,1
,Moapa Tribal,,4,,0,,0,,0,,4,,15,,8,,7,,0,,1
,Pyramid Lake Tribal,,13,,0,,4,,0,,9,,31,,18,,8,,5,,0
New Mexico,,,,,,,,,,,,,,,,,,,,,
,Acoma Tribal,,16,,1,,0,,0,,15,,16,,5,,8,,3,,0
,Isleta Tribal,,101,,0,,2,,3,,96,,159,,51,,86,,22,,4
,Jemez Tribal,,19,,0,,0,,0,,19,,4,,2,,1,,1,,1
,Jicarilla Tribal,,74,,2,,7,,0,,65,,2,,0,,2,,0,,1
,Laguna Tribal,,102,,0,,6,,0,,96,,66,,12,,51,,3,,1
,Mescalero Tribal,,319,,2,,6,,1,,310,,52,,44,,1,,7,,59
,Northern Pueblos Tribal,,61,,11,,2,,0,,48,,38,,25,,10,,3,,3
,Ohkay Owingeh Tribal,,10,,1,,3,,0,,6,,43,,13,,23,,7,,2
,Pojoaque Tribal,,45,,0,,1,,1,,43,,107,,31,,69,,7,,0
,Ramah Navajo Tribal,,9,,0,,1,,0,,8,,48,,32,,12,,4,,12
,Santa Ana Tribal,,7,,0,,0,,3,,4,,12,,7,,0,,5,,2
,Santa Clara Tribal,,8,,0,,1,,0,,7,,24,,17,,7,,0,,2
,Zuni Tribal,,44,,4,,5,,1,,34,,6,,5,,1,,0,,0
New York ,,,,,,,,,,,,,,,,,,,,,
,Oneida Indian Nation ,,14,,0,,0,,0,,14,,370,,12,,355,,3,,0
,St. Regis Tribal,,8,,0,,1,,1,,6,,130,,40,,70,,20,,8
North Carolina,,,,,,,,,,,,,,,,,,,,,
,Cherokee Tribal,,34,,1,,8,,3,,22,,197,,86,,93,,18,,3
North Dakota,,,,,,,,,,,,,,,,,,,,,
,Fort Totten Tribal,,66,,1,,2,,0,,63,,106,,14,,88,,4,,2
,Turtle Mountain Tribal,,88,,0,,9,,2,,77,,403,,100,,301,,2,,3
,Grand River Dam Authority,,0,,0,,0,,0,,0,,7,,3,,3,,1,,0
Oklahoma,,,,,,,,,,,,,,,,,,,,,
,Absentee Shawnee Tribal,,8,,0,,0,,1,,7,,54,,27,,26,,1,,0
,Cherokee Tribal,,28,,1,,1,,0,,26,,24,,16,,8,,0,,3
,Choctaw Tribal,,4,,0,,0,,0,,4,,178,,26,,146,,6,,0
,Citizen Potawatomi Tribal,,15,,0,,0,,1,,14,,155,,22,,111,,22,,1
,Kickapoo Tribal,,4,,0,,1,,0,,3,,24,,9,,12,,3,,1
,Miami Tribal,,4,,0,,1,,2,,1,,79,,8,,64,,7,,3
,Pawnee Tribal,,13,,2,,2,,0,,9,,90,,13,,68,,9,,3
,Sac and Fox Tribal,,1,,0,,0,,0,,1,,21,,6,,10,,5,,1
,Seminole Nation Lighthorse ,,0,,0,,0,,0,,0,,14,,2,,9,,3,,0
,Wyandotte Tribal,,1,,0,,0,,0,,1,,18,,8,,10,,0,,1
Oregon,,,,,,,,,,,,,,,,,,,,,
,Burns Paiute Tribal,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Rhode Island,,,,,,,,,,,,,,,,,,,,,
,Narragansett Tribal,,0,,0,,0,,0,,0,,11,,0,,9,,2,,0
South Dakota,,,,,,,,,,,,,,,,,,,,,
,Crow Creek Tribal,,7,,0,,3,,0,,4,,27,,10,,0,,17,,1
,Pine Ridge Sioux Tribal,,135,,7,,18,,2,,108,,101,,55,,12,,34,,9
Texas,,,,,,,,,,,,,,,,,,,,,
,Ysleta Del Sur Pueblo Tribal,,31,,0,,0,,1,,30,,46,,8,,37,,1,,1
Utah,,,,,,,,,,,,,,,,,,,,,
,Uintah and Ouray Tribal,,21,,0,,1,,0,,20,,24,,10,,0,,14,,1
Washington,,,,,,,,,,,,,,,,,,,,,
,Chehalis Tribal,,2,,0,,2,,0,,0,,87,,16,,64,,7,,0
,Colville Tribal,,10,,0,,1,,2,,7,,86,,13,,52,,21,,3
,Lummi Tribal,,92,,1,,5,,7,,79,,345,,115,,217,,13,,1
,Nooksack Tribal,,11,,0,,0,,6,,5,,76,,32,,43,,1,,0
,Port Gamble S'Klallam Tribal,,10,,0,,3,,1,,6,,54,,9,,43,,2,,0
,Puyallup Tribal,,40,,0,,6,,22,,12,,474,,29,,251,,194,,2
,Spokane Tribal,,41,,1,,3,,4,,33,,27,,24,,1,,2,,1
,Swinomish Tribal,,3,,0,,2,,0,,1,,90,,15,,69,,6,,0
,Yakima Tribal,,34,,3,,18,,0,,13,,394,,190,,132,,72,,4
Wisconsin,,,,,,,,,,,,,,,,,,,,,
,Lac du Flambeau Tribal,,13,,0,,2,,1,,10,,343,,61,,252,,30,,0
,Menominee Tribal,,35,,0,,2,,1,,32,,147,,25,,89,,33,,1
,Oneida Tribal,,12,,0,,1,,1,,10,,192,,25,,158,,9,,0
,Stockbridge Munsee Tribal,,2,,0,,1,,0,,1,,46,,19,,27,,0,,0
Wyoming,,,,,,,,,,,,,,,,,,,,,
,Wind River Tribal,,110,,2,,13,,0,,95,,179,,57,,76,,46,,2
,,,,,,,,,,,,,,,,,,,,,
Total number of reporting tribal law enforcement agencies,,85,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1/Arson is not included in the property crime total in this table; however, if complete arson data were provided, it will appear in the arson column.",,,,,,,,,,,,,,,,,,,,,
2/The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.  ,,,,,,,,,,,,,,,,,,,,,
"Source:  FBI, Crime in the United States, Table 11. Offenses Known to Law Enforcement, 2009. ",,,,,,,,,,,,,,,,,,,,,
