Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
"Filename: Tribal Crime in United States, 2012",,,,,,,,,,,,,,,,,,,,,
"Table title: Offenses Known to Tribal Law Enforcement, 2012",,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2012 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,Violent crime,,Murder and nonnegligent manslaughter,,Forcible rape,,Robbery,,Aggravated assault,,Property crime/1,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/2
,Navajo Nation,,623,,3,,357,,45,,218,,"2,668",,936,,"1,008",,724,,378
,Pascua Yaqui Tribal,,15,,0,,0,,1,,14,,211,,39,,158,,14,,1
,Quechan Tribal,,5,,0,,0,,0,,5,,34,,9,,24,,1,,0
,Salt River Tribal,,71,,2,,8,,11,,50,,542,,87,,409,,46,,0
,San Carlos Agency,,26,,1,,1,,0,,24,,0,,0,,0,,0,,3
,San Carlos Apache,,280,,1,,5,,4,,270,,169,,64,,100,,5,,28
,Tohono O'odham Nation,,64,,2,,11,,2,,49,,99,,41,,22,,36,,2
,Tonto Apache Tribal,,2,,0,,0,,0,,2,,3,,2,,1,,0,,0
,Truxton Canon Agency,,11,,0,,0,,0,,11,,3,,3,,0,,0,,0
,White Mountain Apache Tribal,,71,,2,,30,,4,,35,,630,,368,,239,,23,,80
,Yavapai-Apache Nation,,13,,0,,0,,0,,13,,30,,3,,24,,3,,2
,Yavapai-Prescott Tribal,,1,,0,,1,,0,,0,,65,,2,,61,,2,,0
California,,,,,,,,,,,,,,,,,,,,,
,Tule River Tribal,,64,,4,,2,,3,,55,,95,,11,,71,,13,,0
,Yurok Tribal,,29,,0,,5,,2,,22,,68,,21,,44,,3,,4
Colorado,,,,,,,,,,,,,,,,,,,,,
,Southern Ute Tribal,,1,,0,,0,,0,,1,,8,,5,,0,,3,,0
,Ute Mountain Tribal,,15,,0,,4,,1,,10,,2,,0,,0,,2,,2
Connecticut,,,,,,,,,,,,,,,,,,,,,
,Mashantucket Pequot Tribal,,0,,0,,0,,0,,0,,21,,1,,18,,2,,0
,Mohegan Tribal,,8,,0,,1,,1,,6,,87,,8,,74,,5,,0
Florida,,,,,,,,,,,,,,,,,,,,,
,Miccosukee Tribal,,4,,0,,0,,0,,4,,144,,4,,132,,8,,0
,Seminole Tribal,,60,,0,,3,,17,,40,,933,,69,,800,,64,,0
Idaho,,,,,,,,,,,,,,,,,,,,,
,Coeur d'Alene Tribal,,35,,1,,0,,1,,33,,44,,21,,22,,1,,2
,Fort Hall Tribal,,49,,2,,18,,3,,26,,31,,2,,26,,3,,11
,Nez Perce Tribal,,23,,1,,2,,1,,19,,116,,26,,87,,3,,2
Kansas,,,,,,,,,,,,,,,,,,,,,
,Kickapoo Tribal,,0,,0,,0,,0,,0,,22,,7,,13,,2,,0
,Potawatomi Tribal,,5,,0,,1,,1,,3,,39,,5,,31,,3,,0
,Sac and Fox Tribal,,0,,0,,0,,0,,0,,14,,1,,13,,0,,0
Louisiana,,,,,,,,,,,,,,,,,,,,,
,Chitimacha Tribal,,1,,0,,1,,0,,0,,64,,4,,60,,0,,0
,Coushatta Tribal,,7,,0,,0,,1,,6,,163,,6,,156,,1,,0
Maine,,,,,,,,,,,,,,,,,,,,,
,Passamaquoddy Pleasant Point Tribal,,4,,0,,0,,0,,4,,6,,5,,0,,1,,3
,Penobscot Nation,,1,,0,,0,,0,,1,,40,,6,,34,,0,,2
Massachusetts,,,,,,,,,,,,,,,,,,,,,
,Wampanoag Tribe of Gay Head,,0,,0,,0,,0,,0,,3,,1,,1,,1,,0
Michigan,,,,,,,,,,,,,,,,,,,,,
,Grand Traverse Tribal,,2,,0,,0,,1,,1,,15,,1,,11,,3,,0
,Little Traverse Bay Bands of Odawa Indians,,11,,0,,0,,0,,11,,43,,0,,43,,0,,0
,Nottawaseppi Huron Band of Potawatomi,,3,,0,,0,,0,,3,,47,,8,,38,,1,,0
,Saulte Ste. Marie Tribal,,16,,0,,8,,0,,8,,75,,17,,57,,1,,0
Minnesota,,,,,,,,,,,,,,,,,,,,,
,Leech Lake Band of Ojibwe,,64,,1,,6,,3,,54,,316,,55,,231,,30,,4
,Nett Lake Tribal,,1,,0,,0,,0,,1,,3,,1,,0,,2,,2
,White Earth Tribal,,30,,0,,2,,0,,28,,358,,90,,238,,30,,90
Mississippi,,,,,,,,,,,,,,,,,,,,,
,Choctaw Tribal,,111,,1,,12,,8,,90,,295,,150,,40,,105,,10
Montana,,,,,,,,,,,,,,,,,,,,,
,Blackfeet Agency,,20,,0,,6,,1,,13,,90,,35,,7,,48,,57
,Crow Agency,,38,,1,,6,,0,,31,,154,,42,,89,,23,,13
,Flathead Tribal,,68,,2,,9,,2,,55,,105,,65,,7,,33,,3
,Fort Belknap Tribal,,17,,1,,2,,0,,14,,30,,4,,24,,2,,1
,Fort Peck Assiniboine and Sioux Tribes,,42,,1,,5,,0,,36,,190,,53,,109,,28,,19
,Northern Cheyenne Agency,,20,,2,,9,,0,,9,,9,,9,,0,,0,,0
,Rocky Boys Tribal,,18,,0,,13,,0,,5,,19,,15,,3,,1,,1
Nebraska,,,,,,,,,,,,,,,,,,,,,
,Omaha Tribal,,42,,0,,15,,0,,27,,20,,14,,0,,6,,8
,Santee Tribal,,35,,0,,0,,0,,35,,37,,33,,2,,2,,2
,Winnebago Tribal,,30,,0,,1,,1,,28,,7,,0,,4,,3,,0
Nevada,,,,,,,,,,,,,,,,,,,,,
,Duckwater Tribal,,1,,0,,0,,0,,1,,0,,0,,0,,0,,0
,Eastern Nevada Agency,,0,,0,,0,,0,,0,,5,,4,,0,,1,,0
,Ely Shoshone Tribal,,1,,0,,0,,0,,1,,4,,4,,0,,0,,1
,Fallon Tribal,,2,,2,,0,,0,,0,,28,,2,,25,,1,,0
,Las Vegas Paiute Tribal,,4,,0,,0,,0,,4,,63,,1,,60,,2,,0
,Pyramid Lake Tribal,,26,,0,,2,,2,,22,,38,,16,,15,,7,,3
,Reno-Sparks Indian Colony,,17,,0,,1,,1,,15,,26,,19,,6,,1,,0
,South Fork Band Tribal,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Walker River Tribal,,11,,2,,0,,0,,9,,18,,15,,3,,0,,1
,Washoe Tribal,,39,,1,,2,,1,,35,,39,,18,,14,,7,,30
,Western Nevada Agency,,11,,0,,2,,0,,9,,15,,8,,6,,1,,16
,Western Shoshone Tribal,,4,,1,,0,,0,,3,,14,,2,,11,,1,,2
,Yomba Shoshone Tribal,,7,,0,,0,,0,,7,,3,,1,,2,,0,,1
New Mexico,,,,,,,,,,,,,,,,,,,,,
,Acoma Tribal,,17,,0,,1,,1,,15,,10,,1,,6,,3,,1
,Isleta Tribal,,75,,0,,0,,0,,75,,141,,25,,98,,18,,0
,Jemez Pueblo,,0,,0,,0,,0,,0,,20,,13,,7,,0,,1
,Jicarilla Apache Tribal,,3,,0,,2,,0,,1,,1,,0,,0,,1,,0
,Mescalero Tribal,,36,,1,,7,,1,,27,,26,,12,,13,,1,,65
,Northern Pueblos Agency,,32,,3,,7,,2,,20,,21,,12,,8,,1,,2
,Ohkay Owingeh Tribal,,20,,0,,0,,1,,19,,37,,9,,22,,6,,3
,Ramah Navajo Tribal,,4,,0,,0,,0,,4,,1,,0,,1,,0,,0
,Santa Ana Tribal,,1,,0,,0,,0,,1,,49,,9,,36,,4,,6
,Santa Clara Pueblo,,12,,0,,2,,2,,8,,24,,15,,5,,4,,0
,Southern Pueblos Agency,,3,,0,,0,,0,,3,,10,,8,,1,,1,,0
,Taos Pueblo ,,5,,0,,0,,0,,5,,12,,10,,2,,0,,0
,Tesuque Pueblo,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0
,Zuni Tribal,,34,,0,,7,,1,,26,,6,,2,,4,,0,,0
New York,,,,,,,,,,,,,,,,,,,,,
,Oneida Indian Nation ,,9,,0,,0,,4,,5,,306,,7,,297,,2,,3
,St. Regis Tribal,,4,,0,,2,,1,,1,,115,,20,,80,,15,,34
North Carolina,,,,,,,,,,,,,,,,,,,,,
,Cherokee Tribal,,86,,2,,5,,9,,70,,667,,150,,500,,17,,6
North Dakota,,,,,,,,,,,,,,,,,,,,,
,Fort Totten Agency,,26,,0,,4,,0,,22,,84,,24,,45,,15,,0
,Standing Rock Agency,,123,,1,,12,,5,,105,,150,,65,,51,,34,,8
,Turtle Mountain Agency,,56,,4,,9,,4,,39,,230,,59,,131,,40,,14
Oregon,,,,,,,,,,,,,,,,,,,,,
,Burns Paiute Tribal,,0,,0,,0,,0,,0,,3,,1,,2,,0,,0
,Columbia River Inter Tribal Fisheries Enforcement,,11,,0,,0,,0,,11,,37,,7,,26,,4,,3
,Coquille Tribal,,4,,1,,0,,0,,3,,13,,1,,11,,1,,6
,Siletz Tribal,,3,,0,,1,,1,,1,,65,,16,,43,,6,,0
,Umatilla Tribal,,11,,0,,1,,0,,10,,130,,37,,78,,15,,0
,Warm Springs Tribal,,87,,3,,9,,1,,74,,142,,59,,60,,23,,10
Rhode Island,,,,,,,,,,,,,,,,,,,,,
,Narragansett Tribal,,0,,0,,0,,0,,0,,4,,0,,2,,2,,0
South Dakota,,,,,,,,,,,,,,,,,,,,,
,Crow Creek Tribal,,42,,0,,5,,0,,37,,76,,21,,40,,15,,3
,Flandreau Tribal,,3,,0,,1,,0,,2,,13,,3,,10,,0,,2
,Lower Brule Tribal,,88,,0,,12,,2,,74,,110,,47,,49,,14,,40
,Oglala Sioux Tribal,,59,,4,,19,,2,,34,,177,,25,,127,,25,,8
,Rosebud Tribal,,385,,1,,27,,6,,351,,332,,150,,144,,38,,43
,Sisseton-Wahpeton Tribal,,21,,0,,0,,0,,21,,200,,34,,136,,30,,10
,Yankton Tribal,,32,,1,,3,,2,,26,,10,,5,,2,,3,,1
Texas,,,,,,,,,,,,,,,,,,,,,
,Ysleta Del Sur Pueblo Tribal,,77,,0,,0,,1,,76,,53,,8,,42,,3,,0
Utah,,,,,,,,,,,,,,,,,,,,,
,Uintah and Ouray Tribal,,5,,0,,0,,0,,5,,13,,8,,0,,5,,1
Washington,,,,,,,,,,,,,,,,,,,,,
,Chehalis Tribal,,5,,0,,2,,3,,0,,90,,13,,68,,9,,4
,Colville Tribal,,59,,0,,6,,3,,50,,267,,64,,154,,49,,24
,Hoh Tribal,,2,,0,,0,,0,,2,,2,,0,,2,,0,,0
,Jamestown S'Klallam Tribal,,1,,0,,0,,0,,1,,12,,0,,9,,3,,0
,Kalispel Tribal,,46,,0,,3,,3,,40,,92,,20,,62,,10,,0
,La Push Tribal,,7,,0,,1,,2,,4,,24,,19,,4,,1,,0
,Lower Elwha Tribal,,6,,0,,1,,1,,4,,15,,13,,0,,2,,0
,Lummi Tribal,,66,,2,,27,,1,,36,,298,,123,,171,,4,,2
,Port Gamble S'Klallam Tribal,,5,,0,,1,,1,,3,,46,,14,,27,,5,,0
,Puyallup Tribal,,34,,0,,8,,16,,10,,583,,102,,304,,177,,2
,Quinault Indian Nation,,2,,0,,2,,0,,0,,25,,18,,0,,7,,0
,Sauk-Suiattle Tribal,,1,,0,,1,,0,,0,,10,,5,,5,,0,,0
,Shoalwater Bay Tribal,,0,,0,,0,,0,,0,,2,,0,,2,,0,,0
,Skokomish Tribal,,3,,0,,0,,0,,3,,21,,11,,5,,5,,0
,Spokane Agency,,24,,0,,0,,0,,24,,49,,35,,0,,14,,6
,Stillaguamish Tribal,,0,,0,,0,,0,,0,,51,,1,,46,,4,,0
,Suquamish Tribal,,18,,0,,1,,0,,17,,153,,41,,94,,18,,0
,Swinomish Tribal,,1,,0,,1,,0,,0,,81,,32,,49,,0,,0
,Upper Skagit Tribal,,2,,0,,1,,1,,0,,13,,3,,6,,4,,0
,Yakama Nation,,24,,1,,7,,0,,16,,623,,242,,278,,103,,8
Wisconsin,,,,,,,,,,,,,,,,,,,,,
,Lac du Flambeau Tribal,,39,,0,,4,,1,,34,,355,,72,,272,,11,,0
,Menominee Tribal,,44,,0,,5,,2,,37,,115,,27,,69,,19,,2
,Oneida Tribal,,15,,0,,1,,0,,14,,99,,26,,68,,5,,1
,St. Croix Tribal,,1,,0,,0,,0,,1,,45,,9,,31,,5,,0
,Stockbridge Munsee Tribal,,4,,0,,1,,0,,3,,133,,34,,91,,8,,1
Wyoming,,,,,,,,,,,,,,,,,,,,,
,Wind River Agency,,40,,0,,3,,0,,37,,79,,13,,45,,21,,8
,,,,,,,,,,,,,,,,,,,,,
Total number of reporting tribal law enforcement agencies,,135,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1/Arson is not included in the property crime total in this table; however, if complete arson data were provided, it will appear in the arson column.",,,,,,,,,,,,,,,,,,,,,
2/The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.  ,,,,,,,,,,,,,,,,,,,,,
"Source:  FBI, Crime in the United States, Table 11. Offenses Known to Law Enforcement, 2012. ",,,,,,,,,,,,,,,,,,,,,
