Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
"Filename: Tribal Crime in the United States, 2010",,,,,,,,,,,,,,,,,,,,,
"Table title: Offenses Known to Tribal Law Enforcement, 2010",,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2010 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,Violent crime,,Murder and nonnegligent manslaughter,,Forcible rape,,Robbery,,Aggravated assault,,Property crime/1,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/2
,Quechan Tribal,,3,,0,,0,,0,,3,,35,,10,,23,,2,,4
,Salt River Tribal,,78,,5,,4,,20,,49,,533,,89,,377,,67,,2
,San Carlos Apache,,75,,2,,6,,1,,66,,443,,125,,299,,19,,125
,Truxton Canon Agency,,6,,0,,0,,0,,6,,15,,10,,5,,0,,0
,White Mountain Apache Tribal,,102,,0,,28,,0,,74,,352,,303,,29,,20,,8
,Yavapai-Prescott Tribal,,2,,0,,0,,0,,2,,44,,1,,41,,2,,0
California,,,,,,,,,,,,,,,,,,,,,
,Hoopa Valley Tribal,,107,,0,,1,,0,,106,,162,,87,,69,,6,,0
Colorado,,,,,,,,,,,,,,,,,,,,,
,Southern Ute Tribal,,2,,0,,0,,0,,2,,21,,10,,0,,11,,2
,Ute Mountain Tribal,,0,,0,,0,,0,,0,,1,,0,,0,,1,,6
Connecticut,,,,,,,,,,,,,,,,,,,,,
,Mashantucket Pequot Tribal,,6,,0,,0,,1,,5,,20,,1,,17,,2,,0
,Mohegan Tribal,,12,,0,,1,,2,,9,,71,,2,,67,,2,,0
Florida,,,,,,,,,,,,,,,,,,,,,
,Miccosukee Tribal,,5,,0,,0,,1,,4,,146,,6,,138,,2,,2
,Seminole Tribal,,116,,1,,7,,38,,70,,821,,54,,695,,72,,2
Kansas,,,,,,,,,,,,,,,,,,,,,
,Iowa Tribal,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0
,Potawatomi Tribal,,6,,0,,0,,0,,6,,40,,4,,34,,2,,3
,Sac and Fox Tribal,,1,,0,,0,,0,,1,,26,,3,,23,,0,,0
Lousiana,,,,,,,,,,,,,,,,,,,,,
,Chitimacha Tribal,,0,,0,,0,,0,,0,,52,,7,,43,,2,,0
,Coushatta Tribal,,2,,0,,2,,0,,0,,192,,4,,184,,4,,0
,Tunica-Biloxi Tribal,,25,,0,,0,,0,,25,,127,,0,,126,,1,,0
Maine,,,,,,,,,,,,,,,,,,,,,
,Passamaquoddy Indian Township,,0,,0,,0,,0,,0,,57,,12,,43,,2,,6
,Passamaquoddy Pleasant Point Tribal,,29,,0,,1,,0,,28,,12,,8,,2,,2,,0
,Penobscot Nation,,3,,0,,0,,0,,3,,33,,10,,23,,0,,1
Michigan,,,,,,,,,,,,,,,,,,,,,
,Bay Mills Tribal,,1,,0,,0,,0,,1,,48,,4,,41,,3,,0
,Hannahville Tribal,,18,,0,,10,,0,,8,,121,,17,,100,,4,,0
,Lac Vieux Desert Tribal,,4,,0,,1,,0,,3,,51,,13,,32,,6,,0
,Little River Band of Ottawa Indians,,1,,0,,0,,0,,1,,90,,1,,84,,5,,0
,Little Traverse Bay Bands of Odawa Indians,,2,,0,,0,,0,,2,,48,,1,,47,,0,,
,Nottawaseppi Huron Band of Potawatomi,,1,,0,,0,,0,,1,,22,,1,,21,,0,,0
,Pokagon Tribal,,6,,0,,1,,0,,5,,179,,3,,176,,0,,1
,Saginaw Chippewa Tribal,,29,,3,,5,,1,,20,,282,,44,,218,,20,,
,Saulte Ste. Marie Tribal,,23,,0,,13,,3,,7,,96,,15,,78,,3,,1
Minnesota,,,,,,,,,,,,,,,,,,,,,
,Nett Lake Tribal,,4,,0,,0,,0,,4,,2,,0,,0,,2,,1
,Red Lake Agency,,175,,0,,12,,1,,162,,451,,87,,284,,80,,45
,White Earth Tribal,,30,,2,,2,,3,,23,,223,,74,,120,,29,,2
Mississippi,,,,,,,,,,,,,,,,,,,,,
,Choctaw Tribal,,40,,0,,6,,1,,33,,133,,96,,36,,1,,0
Montana,,,,,,,,,,,,,,,,,,,,,
,Crow Agency,,31,,0,,7,,0,,24,,221,,50,,143,,28,,1
,Fort Peck Assiniboine and Sioux Tribes,,49,,2,,12,,1,,34,,148,,50,,91,,7,,9
,Northern Cheyenne Agency,,46,,2,,5,,0,,39,,90,,29,,50,,11,,8
,Rocky Boys Tribal,,28,,1,,13,,3,,11,,77,,36,,35,,6,,1
Nebraska,,,,,,,,,,,,,,,,,,,,,
,Omaha Tribal,,55,,0,,8,,0,,47,,82,,50,,15,,17,,12
,Santee Tribal,,30,,1,,1,,1,,27,,10,,7,,0,,3,,4
,Winnebago Tribal,,46,,0,,0,,0,,46,,6,,4,,1,,1,,0
Nevada,,,,,,,,,,,,,,,,,,,,,
,Eastern Nevada Agency,,6,,0,,0,,0,,6,,3,,2,,0,,1,,0
,Ely Shoshone Tribal,,1,,0,,0,,0,,1,,7,,4,,3,,0,,0
,Las Vegas Paiute Tribal,,7,,0,,0,,1,,6,,121,,0,,120,,1,,0
,Lovelock Paiute Tribal,,5,,0,,0,,0,,5,,2,,2,,0,,0,,0
,Pyramid Lake Tribal,,23,,0,,3,,0,,20,,30,,14,,9,,7,,4
,Yomba Shoshone Tribal,,0,,0,,0,,0,,0,,2,,0,,2,,0,,0
New Mexico,,,,,,,,,,,,,,,,,,,,,
,Acoma Tribal,,26,,0,,2,,0,,24,,18,,9,,6,,3,,0
,Isleta Tribal,,68,,0,,1,,1,,66,,136,,32,,87,,17,,1
,Jemez Pueblo,,21,,0,,0,,0,,21,,10,,7,,2,,1,,0
,Jicarilla Tribal,,55,,1,,1,,0,,53,,0,,0,,0,,0,,0
,Laguna Tribal,,98,,0,,8,,0,,90,,86,,16,,60,,10,,0
,Mescalero Tribal,,89,,0,,4,,3,,82,,32,,14,,9,,9,,3
,Northern Pueblos Agency,,53,,5,,0,,1,,47,,69,,35,,32,,2,,1
,Ohkay Owingeh Tribal,,7,,1,,0,,1,,5,,47,,16,,30,,1,,0
,Pojoaque Tribal,,10,,0,,2,,3,,5,,117,,30,,73,,14,,0
,Ramah Navajo Tribal,,26,,1,,0,,0,,25,,24,,19,,1,,4,,0
,Santa Ana Tribal,,4,,0,,0,,2,,2,,11,,7,,0,,4,,0
,Santa Clara Pueblo,,3,,0,,0,,0,,3,,37,,9,,24,,4,,0
,Southern Pueblos Agency,,20,,11,,6,,0,,3,,22,,14,,8,,0,,1
,Taos Pueblo ,,5,,0,,0,,0,,5,,10,,4,,6,,0,,0
,Zuni Tribal,,47,,2,,2,,5,,38,,20,,13,,6,,1,,0
New York,,,,,,,,,,,,,,,,,,,,,
,Oneida Indian Nation ,,9,,1,,0,,4,,4,,291,,7,,284,,0,,0
,St. Regis Tribal,,10,,1,,3,,5,,1,,124,,50,,64,,10,,2
North Carolina,,,,,,,,,,,,,,,,,,,,,
,Cherokee Tribal,,104,,4,,10,,16,,74,,480,,139,,303,,38,,4
North Dakota,,,,,,,,,,,,,,,,,,,,,
,Fort Totten Tribal,,95,,0,,8,,0,,87,,142,,34,,88,,20,,3
,Standing Rock Agency,,99,,0,,11,,5,,83,,107,,19,,73,,15,,8
,Three Affiliated Tribes,,70,,0,,0,,0,,70,,30,,4,,0,,26,,2
,Turtle Mountain Agency,,85,,1,,7,,1,,76,,373,,126,,196,,51,,7
Oklahoma,,,,,,,,,,,,,,,,,,,,,
,Absentee Shawnee Tribal,,18,,1,,1,,4,,12,,58,,36,,11,,11,,1
,Anadarko Agency,,5,,0,,0,,1,,4,,39,,7,,32,,0,,1
,Cherokee Nation,,13,,0,,0,,3,,10,,18,,13,,4,,1,,2
,Choctaw Nation,,2,,0,,1,,0,,1,,285,,37,,235,,13,,0
,Citizen Potawatomi Nation,,9,,0,,0,,1,,8,,63,,9,,41,,13,,0
,Comanche Nation,,11,,0,,0,,1,,10,,103,,11,,79,,13,,1
,Concho Agency,,3,,0,,0,,2,,1,,6,,3,,2,,1,,0
,Eastern Shawnee Tribal,,5,,0,,1,,2,,2,,37,,6,,26,,5,,0
,Iowa Tribal,,1,,1,,0,,0,,0,,8,,0,,8,,0,,0
,Kaw Tribal,,0,,0,,0,,0,,0,,15,,2,,13,,0,,0
,Kickapoo Tribal,,8,,0,,0,,0,,8,,17,,6,,9,,2,,1
,Miami Agency,,4,,0,,0,,0,,4,,86,,3,,77,,6,,9
,Miami Tribal,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Muscogee Nation Tribal,,10,,1,,0,,0,,9,,60,,7,,44,,9,,5
,Osage Nation,,4,,0,,0,,2,,2,,44,,16,,20,,8,,0
,Otoe-Missouria Tribal,,4,,0,,0,,1,,3,,24,,7,,12,,5,,0
,Pawnee Agency,,1,,1,,0,,0,,0,,5,,2,,3,,0,,1
,Pawnee Tribal,,3,,0,,1,,0,,2,,9,,0,,9,,0,,0
,Ponca Tribal,,7,,0,,0,,0,,7,,22,,5,,15,,2,,1
,Sac and Fox Tribal,,4,,2,,0,,0,,2,,19,,3,,12,,4,,2
,Seminole Nation Lighthorse ,,0,,0,,0,,0,,0,,17,,3,,11,,3,,0
,Tonkawa Tribal,,0,,0,,0,,0,,0,,5,,2,,3,,0,,0
,Wyandotte Nation,,7,,0,,0,,3,,4,,57,,2,,54,,1,,0
Oregon,,,,,,,,,,,,,,,,,,,,,
,Burns Paiute Tribal,,0,,0,,0,,0,,0,,1,,0,,0,,1,,0
,Coquille Tribal,,0,,0,,0,,0,,0,,8,,3,,5,,0,,4
,Umatilla Tribal,,35,,2,,2,,1,,30,,91,,23,,62,,6,,2
,Warm Springs Tribal,,22,,2,,5,,4,,11,,122,,63,,45,,14,,7
Rhode Island,,,,,,,,,,,,,,,,,,,,,
,Narragansett Tribal,,1,,0,,0,,0,,1,,7,,7,,0,,0,,0
South Dakota,,,,,,,,,,,,,,,,,,,,,
,Crow Creek Tribal,,9,,0,,3,,0,,6,,25,,7,,0,,18,,4
,Flandreau Tribal,,5,,0,,0,,0,,5,,11,,1,,4,,6,,0
,Lower Brule Tribal,,9,,0,,5,,0,,4,,11,,8,,0,,3,,2
,Oglala Sioux Tribal,,40,,5,,10,,3,,22,,186,,75,,88,,23,,6
,Pine Ridge Sioux Tribal,,83,,1,,7,,13,,62,,19,,8,,11,,0,,2
,Sisseton-Wahpeton Tribal,,10,,0,,2,,0,,8,,157,,30,,90,,37,,3
,Yankton Tribal,,3,,0,,0,,0,,3,,8,,8,,0,,0,,1
Texas,,,,,,,,,,,,,,,,,,,,,
,Ysleta Del Sur Pueblo Tribal,,51,,0,,0,,0,,51,,48,,3,,42,,3,,11
Washington ,,,,,,,,,,,,,,,,,,,,,
,Chehalis Tribal,,1,,0,,0,,0,,1,,99,,20,,75,,4,,0
,Colville Tribal,,75,,0,,7,,4,,64,,208,,73,,102,,33,,18
,Kalispel Tribal,,6,,0,,0,,0,,6,,47,,10,,28,,9,,0
,Lummi Tribal,,95,,0,,15,,8,,72,,442,,146,,273,,23,,0
,Makah Tribal,,20,,0,,0,,0,,20,,10,,6,,4,,0,,1
,Nisqually Tribal,,2,,0,,0,,0,,2,,47,,10,,33,,4,,0
,Nooksack Tribal,,4,,0,,1,,1,,2,,52,,16,,32,,4,,0
,Port Gamble S'Klallam Tribal,,4,,0,,0,,0,,4,,60,,25,,35,,0,,0
,Puyallup Tribal,,42,,0,,4,,19,,19,,396,,35,,223,,138,,1
,Quinault Indian Nation,,3,,0,,3,,0,,0,,28,,20,,0,,8,,1
,Shoalwater Bay Tribal,,1,,0,,0,,0,,1,,10,,2,,8,,0,,0
,Spokane Agency,,43,,0,,0,,1,,42,,27,,19,,1,,7,,7
,Stillaguamish Tribal,,1,,0,,0,,0,,1,,13,,5,,8,,0,,0
,Suquamish Tribal,,17,,0,,1,,1,,15,,102,,26,,59,,17,,2
,Swinomish Tribal,,5,,0,,1,,2,,2,,148,,26,,119,,3,,0
,Upper Skagit Tribal,,1,,0,,0,,0,,1,,17,,13,,3,,1,,0
,Yakima Tribal,,50,,0,,35,,4,,11,,410,,193,,167,,50,,11
Wisconsin,,,,,,,,,,,,,,,,,,,,,
,Lac du Flambeau Tribal,,15,,1,,0,,2,,12,,377,,59,,296,,22,,0
,Oneida Tribal,,27,,4,,1,,0,,22,,135,,23,,97,,15,,0
,Red Cliff Tribal,,4,,0,,0,,0,,4,,118,,23,,89,,6,,1
,St. Croix Tribal,,4,,0,,1,,1,,2,,38,,5,,29,,4,,0
,Stockbridge Munsee Tribal,,4,,0,,1,,0,,3,,49,,14,,35,,0,,0
Wyoming,,,,,,,,,,,,,,,,,,,,,
,Wind River Agency,,37,,0,,2,,0,,35,,113,,10,,69,,34,,2
,,,,,,,,,,,,,,,,,,,,,
Total number of reporting tribal law enforcement agencies,,140,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1/Arson is not included in the property crime total in this table; however, if complete arson data were provided, it will appear in the arson column.",,,,,,,,,,,,,,,,,,,,,
2/The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.  ,,,,,,,,,,,,,,,,,,,,,
"Source:  FBI, Crime in the United States, Table 11. Offenses Known to Law Enforcement, 2010. ",,,,,,,,,,,,,,,,,,,,,
