Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
"Filename:  Tribal Crime in the United States, 2013",,,,,,,,,,,,,,,,,,,,,,,
"Table title: Offenses Known to Tribal Law Enforcement, 2013",,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): Federal Bureau of Investigation, Crime in the United States, 2013 (Extract File)                                                            ",,,,,,,,,,,,,,,,,,,,,,,
Author: Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/28/2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
State,Tribal Agency,,Violent crime,,Murder and nonnegligent manslaughter,,Rape (revised definition )/1,,Rape (legacy definition)/2,,Robbery,,Aggravated assault,,Property crime/3,,Burglary,,Larceny-theft,,Motor vehicle theft,,Arson/4
,Hualapai Tribal,,59,,0,,,,4,,0,,55,,34,,29,,4,,1,,4
,Kaibab Paiute Tribal,,2,,0,,,,1,,0,,1,,0,,0,,0,,0,,0
,Navajo Nation,,565,,8,,,,320,,27,,210,,"2,875",,982,,"1,146",,747,,328
,Pascua Yaqui Tribal,,21,,0,,,,2,,4,,15,,239,,54,,166,,19,,4
,Quechan Tribal,,11,,0,,,,1,,1,,9,,29,,4,,22,,3,,0
,Salt River Tribal,,47,,0,,,,9,,10,,28,,541,,83,,405,,53,,2
,San Carlos Agency,,15,,7,,,,0,,0,,8,,0,,0,,0,,0,,8
,San Carlos Apache,,303,,3,,,,13,,10,,277,,341,,113,,217,,11,,21
,Tohono O'odham Nation,,181,,8,,,,27,,21,,125,,256,,110,,69,,77,,35
,Tonto Apache Tribal,,3,,0,,,,0,,0,,3,,5,,5,,0,,0,,0
,Truxton Canon Agency,,9,,0,,,,1,,0,,8,,1,,1,,0,,0,,0
,White Mountain Apache Tribal,,146,,1,,,,41,,1,,103,,820,,313,,478,,29,,1
,Yavapai-Apache Nation,,9,,1,,,,0,,0,,8,,23,,5,,18,,0,,0
,Yavapai-Prescott Tribal,,1,,0,,,,0,,1,,0,,75,,9,,65,,1,,1
California,,,,,,,,,,,,,,,,,,,,,,,
,Hoopa Valley Tribal,,136,,0,,,,4,,7,,125,,185,,52,,126,,7,,3
,Sycuan Tribal,,5,,0,,,,0,,2,,3,,74,,10,,46,,18,,0
,Tule River Tribal,,54,,0,,,,0,,1,,53,,43,,12,,20,,11,,0
,Yurok Tribal,,17,,1,,,,0,,1,,15,,58,,21,,28,,9,,6
Colorado,,,,,,,,,,,,,,,,,,,,,,,
,Southern Ute Tribal,,4,,1,,,,0,,0,,3,,13,,4,,4,,5,,0
,Ute Mountain Tribal,,21,,0,,,,3,,2,,16,,16,,3,,3,,10,,0
Connecticut,,,,,,,,,,,,,,,,,,,,,,,
,Mashantucket Pequot Tribal,,14,,0,,,,0,,0,,14,,30,,0,,28,,2,,0
,Mohegan Tribal,,7,,0,,,,2,,3,,2,,145,,0,,144,,1,,1
Florida,,,,,,,,,,,,,,,,,,,,,,,
,Miccosukee Tribal,,17,,0,,,,0,,1,,16,,129,,20,,97,,12,,1
,Seminole Tribal,,58,,0,,,,8,,22,,28,,682,,25,,612,,45,,0
Kansas,,,,,,,,,,,,,,,,,,,,,,,
,Potawatomi Tribal,,5,,0,,0,,,,0,,5,,52,,2,,47,,3,,0
Louisiana,,,,,,,,,,,,,,,,,,,,,,,
,Chitimacha Tribal,,2,,0,,,,0,,0,,2,,50,,4,,42,,4,,0
,Coushatta Tribal,,0,,0,,,,0,,0,,0,,210,,7,,200,,3,,0
,Tunica-Biloxi Tribal,,8,,0,,,,0,,0,,8,,119,,0,,117,,2,,0
Maine,,,,,,,,,,,,,,,,,,,,,,,
,Passamaquoddy Indian Township,,2,,0,,,,0,,0,,2,,33,,6,,25,,2,,4
,Passamaquoddy Pleasant Point Tribal,,3,,0,,,,0,,0,,3,,7,,7,,0,,0,,4
,Penobscot Nation,,6,,0,,,,2,,0,,4,,37,,14,,21,,2,,2
Massachusetts,,,,,,,,,,,,,,,,,,,,,,,
,Wampanoag Tribe of Gay Head,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0
Michigan,,,,,,,,,,,,,,,,,,,,,,,
,Bay Mills Tribal,,2,,0,,,,0,,0,,2,,13,,0,,13,,0,,3
,Grand Traverse Tribal,,8,,1,,,,3,,0,,4,,19,,3,,16,,0,,0
,Keweenaw Bay Tribal,,1,,0,,,,0,,0,,1,,18,,0,,18,,0,,0
,Lac Vieux Desert Tribal,,6,,0,,,,0,,0,,6,,22,,2,,19,,1,,4
,Little River Band of Ottawa Indians,,0,,0,,0,,,,0,,0,,31,,0,,31,,0,,0
,Nottawaseppi Huron Band of Potawatomi,,5,,0,,0,,,,0,,5,,54,,2,,52,,0,,1
,Pokagon Tribal,,8,,0,,,,0,,0,,8,,127,,3,,123,,1,,0
,Saginaw Chippewa Tribal,,32,,0,,,,17,,3,,12,,144,,32,,94,,18,,0
,Sault Ste. Marie Tribal,,15,,0,,,,12,,0,,3,,64,,4,,59,,1,,2
Minnesota,,,,,,,,,,,,,,,,,,,,,,,
,Fond du Lac Tribal,,8,,0,,1,,,,0,,7,,97,,8,,85,,4,,0
,Lower Sioux Tribal,,17,,0,,,,3,,5,,9,,45,,3,,34,,8,,3
,Mille Lacs Tribal,,23,,0,,0,,,,0,,23,,55,,9,,41,,5,,6
,Nett Lake Tribal,,6,,0,,,,1,,0,,5,,30,,9,,16,,5,,0
,Red Lake Agency,,108,,1,,,,8,,8,,91,,444,,93,,313,,38,,18
,Upper Sioux Community,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0
,White Earth Tribal,,18,,0,,,,1,,0,,17,,230,,65,,142,,23,,2
Mississippi,,,,,,,,,,,,,,,,,,,,,,,
,Choctaw Tribal,,86,,0,,,,14,,0,,72,,246,,83,,64,,99,,7
Montana,,,,,,,,,,,,,,,,,,,,,,,
,Blackfeet Agency,,57,,2,,,,10,,5,,40,,147,,48,,12,,87,,3
,Crow Agency,,33,,1,,,,13,,0,,19,,50,,18,,30,,2,,1
,Fort Belknap Tribal,,16,,0,,,,2,,0,,14,,38,,1,,36,,1,,1
,Fort Peck Assiniboine and Sioux Tribes,,44,,0,,,,1,,2,,41,,155,,63,,69,,23,,2
,Northern Cheyenne Agency,,26,,2,,,,0,,2,,22,,20,,10,,4,,6,,0
,Rocky Boys Tribal,,39,,1,,,,4,,1,,33,,85,,45,,35,,5,,6
Nebraska,,,,,,,,,,,,,,,,,,,,,,,
,Santee Tribal,,36,,0,,,,1,,1,,34,,22,,10,,11,,1,,0
,Winnebago Tribal,,35,,0,,,,0,,0,,35,,24,,10,,9,,5,,4
Nevada,,,,,,,,,,,,,,,,,,,,,,,
,Duckwater Tribal,,0,,0,,,,0,,0,,0,,1,,0,,1,,0,,0
,Eastern Nevada Agency,,7,,0,,,,0,,0,,7,,23,,6,,15,,2,,0
,Ely Shoshone Tribal,,0,,0,,,,0,,0,,0,,5,,3,,2,,0,,0
,Fallon Tribal,,4,,0,,,,0,,1,,3,,20,,3,,16,,1,,0
,Las Vegas Paiute Tribal,,1,,0,,,,0,,0,,1,,38,,2,,35,,1,,1
,Lovelock Paiute Tribal,,0,,0,,,,0,,0,,0,,5,,2,,3,,0,,3
,Moapa Tribal,,5,,0,,,,0,,2,,3,,15,,3,,10,,2,,8
,Pyramid Lake Tribal,,14,,0,,,,1,,0,,13,,27,,10,,14,,3,,0
,Reno-Sparks Indian Colony,,4,,1,,,,0,,0,,3,,239,,2,,236,,1,,0
,South Fork Band Tribal,,1,,1,,,,0,,0,,0,,0,,0,,0,,0,,0
,Walker River Tribal,,10,,0,,,,0,,0,,10,,27,,18,,4,,5,,1
,Washoe Tribal,,30,,0,,,,3,,0,,27,,75,,38,,34,,3,,4
,Western Nevada Agency,,8,,1,,,,2,,0,,5,,4,,3,,0,,1,,2
,Western Shoshone Tribal,,10,,0,,,,2,,0,,8,,23,,12,,8,,3,,0
,Yerington Paiute Tribal,,3,,0,,,,0,,0,,3,,12,,6,,3,,3,,0
,Yomba Shoshone Tribal,,7,,0,,,,0,,0,,7,,1,,1,,0,,0,,0
New Mexico,,,,,,,,,,,,,,,,,,,,,,,
,Isleta Tribal,,65,,0,,,,0,,0,,65,,162,,35,,115,,12,,1
,Jemez Pueblo,,19,,0,,,,0,,0,,19,,19,,12,,6,,1,,1
,Jicarilla Apache Tribal,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0
,Laguna Tribal,,91,,0,,,,6,,0,,85,,80,,6,,62,,12,,0
,Mescalero Tribal,,14,,0,,,,4,,0,,10,,12,,6,,4,,2,,0
,Northern Pueblos Agency,,5,,0,,,,1,,0,,4,,18,,11,,1,,6,,0
,Ohkay Owingeh Tribal,,10,,0,,,,0,,1,,9,,24,,6,,16,,2,,0
,Pojoaque Tribal,,7,,0,,,,1,,5,,1,,66,,19,,39,,8,,0
,Ramah Navajo Tribal,,3,,0,,,,0,,0,,3,,1,,0,,0,,1,,0
,Santa Ana Tribal,,1,,0,,,,0,,0,,1,,49,,6,,37,,6,,1
,Santa Clara Pueblo,,23,,0,,,,2,,2,,19,,21,,12,,5,,4,,1
,Southern Pueblos Agency,,2,,0,,,,1,,0,,1,,10,,8,,0,,2,,0
,Taos Pueblo ,,8,,0,,,,0,,0,,8,,5,,2,,1,,2,,0
,Tesuque Pueblo,,3,,0,,,,1,,0,,2,,6,,0,,5,,1,,0
,Zuni Tribal,,41,,0,,,,3,,1,,37,,3,,2,,0,,1,,0
New York,,,,,,,,,,,,,,,,,,,,,,,
,Oneida Indian Nation ,,7,,0,,,,0,,0,,7,,290,,6,,282,,2,,0
,St. Regis Tribal,,0,,0,,,,0,,0,,0,,119,,28,,74,,17,,29
North Carolina,,,,,,,,,,,,,,,,,,,,,,,
,Cherokee Tribal,,100,,2,,,,8,,4,,86,,664,,126,,512,,26,,6
North Dakota,,,,,,,,,,,,,,,,,,,,,,,
,Standing Rock Agency,,191,,1,,,,17,,2,,171,,228,,88,,98,,42,,10
,Turtle Mountain Agency,,89,,2,,,,10,,3,,74,,552,,117,,334,,101,,54
Oklahoma,,,,,,,,,,,,,,,,,,,,,,,
,Absentee Shawnee Tribal,,4,,0,,,,0,,0,,4,,42,,19,,15,,8,,0
,Anadarko Agency,,4,,0,,,,0,,0,,4,,45,,13,,26,,6,,1
,Cherokee Nation,,6,,0,,,,2,,1,,3,,26,,9,,10,,7,,3
,Chickasaw Nation,,58,,0,,,,1,,4,,53,,703,,75,,570,,58,,0
,Choctaw Nation,,1,,1,,,,0,,0,,0,,342,,31,,305,,6,,0
,Citizen Potawatomi Nation,,6,,0,,,,0,,2,,4,,203,,15,,176,,12,,0
,Comanche Nation,,5,,0,,0,,,,1,,4,,61,,8,,52,,1,,0
,Concho Agency,,6,,0,,,,1,,0,,5,,8,,1,,5,,2,,2
,Eastern Shawnee Tribal,,0,,0,,,,0,,0,,0,,26,,0,,25,,1,,0
,Iowa Tribal,,0,,0,,,,0,,0,,0,,4,,0,,4,,0,,0
,Kaw Tribal,,0,,0,,,,0,,0,,0,,1,,0,,1,,0,,0
,Kickapoo Tribal,,10,,0,,,,1,,1,,8,,50,,17,,24,,9,,1
,Miami Agency,,2,,0,,,,0,,0,,2,,33,,6,,17,,10,,0
,Miami Tribal,,0,,0,,,,0,,0,,0,,1,,0,,1,,0,,0
,Muscogee Nation Tribal,,10,,0,,,,0,,2,,8,,92,,14,,63,,15,,1
,Osage Nation,,12,,0,,,,0,,2,,10,,124,,27,,79,,18,,2
,Otoe-Missouria Tribal,,3,,0,,,,1,,0,,2,,15,,3,,9,,3,,0
,Pawnee Agency,,5,,1,,,,2,,0,,2,,3,,1,,2,,0,,0
,Pawnee Tribal,,1,,0,,,,0,,0,,1,,7,,0,,7,,0,,0
,Ponca Tribal,,5,,0,,,,1,,0,,4,,22,,11,,7,,4,,0
,Quapaw Tribal,,3,,0,,,,0,,1,,2,,70,,6,,59,,5,,0
,Sac and Fox Tribal,,2,,0,,,,0,,0,,2,,25,,13,,11,,1,,0
,Seminole Nation Lighthorse ,,0,,0,,,,0,,0,,0,,13,,1,,12,,0,,0
,Tonkawa Tribal,,1,,0,,0,,,,0,,1,,7,,1,,6,,0,,0
,Wyandotte Nation,,0,,0,,0,,,,0,,0,,8,,0,,8,,0,,0
Oregon,,,,,,,,,,,,,,,,,,,,,,,
,Burns Paiute Tribal,,4,,0,,,,0,,0,,4,,11,,4,,5,,2,,1
,Columbia River Inter-Tribal Fisheries Enforcement,,14,,0,,,,0,,0,,14,,68,,12,,43,,13,,0
,Grand Ronde Tribal,,1,,0,,1,,,,0,,0,,49,,1,,46,,2,,0
,Umatilla Tribal,,11,,1,,,,2,,2,,6,,129,,22,,99,,8,,0
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,
,Narragansett Tribal,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0
South Dakota,,,,,,,,,,,,,,,,,,,,,,,
,Cheyenne River Tribal,,32,,1,,,,13,,4,,14,,23,,8,,9,,6,,5
,Crow Creek Tribal,,57,,0,,,,5,,0,,52,,85,,25,,46,,14,,2
,Flandreau Tribal,,2,,0,,,,0,,0,,2,,6,,2,,4,,0,,0
,Lower Brule Tribal,,54,,0,,,,3,,0,,51,,197,,74,,110,,13,,37
,Oglala Sioux Tribal,,56,,3,,,,12,,6,,35,,193,,29,,131,,33,,8
,Rosebud Tribal,,432,,1,,,,20,,1,,410,,613,,186,,368,,59,,19
,Sisseton-Wahpeton Tribal,,18,,0,,,,0,,0,,18,,217,,34,,146,,37,,4
,Yankton Tribal,,54,,1,,,,4,,1,,48,,21,,14,,4,,3,,0
Texas,,,,,,,,,,,,,,,,,,,,,,,
,Ysleta del Sur Pueblo Tribal,,67,,0,,,,1,,0,,66,,67,,10,,57,,0,,0
Utah,,,,,,,,,,,,,,,,,,,,,,,
,Goshute Tribal,,1,,0,,,,1,,0,,0,,1,,1,,0,,0,,0
,Uintah and Ouray Tribal,,11,,0,,,,0,,0,,11,,11,,7,,0,,4,,0
Washington,,,,,,,,,,,,,,,,,,,,,,,
,Chehalis Tribal,,3,,0,,,,1,,2,,0,,132,,22,,92,,18,,3
,Kalispel Tribal,,34,,0,,,,0,,0,,34,,92,,8,,70,,14,,0
,Lower Elwha Tribal,,2,,0,,,,0,,0,,2,,37,,36,,0,,1,,0
,Lummi Tribal,,42,,0,,15,,,,1,,26,,278,,77,,179,,22,,2
,Makah Tribal,,9,,0,,,,0,,0,,9,,24,,7,,17,,0,,1
,Swinomish Tribal,,2,,0,,2,,,,0,,0,,59,,14,,45,,0,,0
,Tulalip Tribal,,74,,0,,,,4,,15,,55,,933,,103,,762,,68,,5
Wisconsin,,,,,,,,,,,,,,,,,,,,,,,
,Lac du Flambeau Tribal,,61,,0,,,,9,,0,,52,,240,,48,,187,,5,,1
,Menominee Tribal,,40,,0,,,,6,,1,,33,,93,,12,,72,,9,,0
,Oneida Tribal,,16,,1,,3,,,,3,,9,,64,,14,,48,,2,,2
,Red Cliff Tribal,,5,,0,,,,0,,0,,5,,70,,14,,49,,7,,0
,St. Croix Tribal,,0,,0,,0,,,,0,,0,,65,,17,,41,,7,,0
,Stockbridge Munsee Tribal,,2,,0,,,,1,,1,,0,,87,,19,,62,,6,,1
Wyoming,,,,,,,,,,,,,,,,,,,,,,,
,Wind River Agency,,43,,1,,,,5,,0,,37,,77,,11,,42,,24,,9
,,,,,,,,,,,,,,,,,,,,,,,
Total number of reporting tribal law enforcement agencies,,157,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"1/In 2013, the FBI's UCR Program initiated the collection of rape data within the Summary Reporting System under a revised definition. The term “forcible” was removed from the offense name, and the definition changed to the revised UCR definition below.  Revised UCR definition of rape:  Penetration, no matter how slight, of the vagina or anus with any body part or object, or oral penetration by a sex organ of another person, without the consent of the victim.",,,,,,,,,,,,,,,,,,,,,,,
2/Legacy UCR definition of rape:  The carnal knowledge of a female forcibly and against her will.,,,,,,,,,,,,,,,,,,,,,,,
"3/Arson is not included in the property crime total in this table; however, if complete arson data were provided, it will appear in the arson column.",,,,,,,,,,,,,,,,,,,,,,,
4/The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.  ,,,,,,,,,,,,,,,,,,,,,,,
"Source:  FBI, Crime in the United States, Table 11. Offenses Known to Law Enforcement, 2013. ",,,,,,,,,,,,,,,,,,,,,,,
